player,away_team,home_team,game_time,market,prop_line,over_odds,under_odds,bookmaker,bookmaker_last_update,market_last_update,fetch_date,season,odds_api_event_id
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,104,-138,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,116,-154,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,118,-158,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,-112,-118,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Malik Monk,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,118,-158,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-118,-112,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Grant Williams,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,102,-136,fanduel,,2026-03-24T23:37:58Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,-110,-120,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,110,-140,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,8.5,-105,-125,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,-120,-110,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
DeMar DeRozan,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,-105,-125,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,114,-145,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-145,114,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Ryan Kalkbrenner,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-130,100,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-125,-105,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,100,-130,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Grant Williams,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,100,-130,draftkings,,2026-03-24T23:37:30Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-170,130,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,110,-145,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,200,-275,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
DeMar DeRozan,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,-145,110,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
DeMar DeRozan,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,155,-210,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-240,175,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,-120,-110,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,145,-190,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,-290,210,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,7.5,-165,125,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,8.5,105,-135,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Dylan Cardwell,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,9.5,165,-220,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Grant Williams,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,-220,165,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Grant Williams,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,105,-135,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Grant Williams,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,215,-300,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,-250,185,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-120,-110,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,160,-215,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,-240,175,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-115,-115,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,165,-220,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Malik Monk,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,-165,125,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Malik Monk,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,140,-185,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,7.5,-300,215,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,8.5,-170,130,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,9.5,-105,-125,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Maxime Raynaud,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,150,-200,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-185,140,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,105,-135,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,190,-260,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,8.5,-250,185,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,9.5,-150,115,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,10.5,105,-135,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,11.5,160,-215,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Ryan Kalkbrenner,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,-280,205,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Ryan Kalkbrenner,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-130,100,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Ryan Kalkbrenner,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,145,-190,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Sion James,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,2.5,-220,165,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Sion James,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,3.5,105,-135,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Sion James,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,215,-300,bovada,,2026-03-24T23:28:02Z,20260324T233822Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
