nfl_game_id,odds_api_event_id,home_team,away_team,gameday,gametime,game_type,week
2024_01_BAL_KC,165f895da9df97bac81a9592d3c9181d,KC,BAL,2024-09-05,20:20,REG,1
2024_01_GB_PHI,edbc8c5b53a7705b9caa5e1908109e19,PHI,GB,2024-09-06,20:15,REG,1
2024_01_PIT_ATL,92665529cce6b8089e793d1e7d5e4b66,ATL,PIT,2024-09-08,13:00,REG,1
2024_01_ARI_BUF,7a5e353202d40a844491fa5753bc3097,BUF,ARI,2024-09-08,13:00,REG,1
2024_01_TEN_CHI,b5b9d07cdd5c7bd14e943ccd7973e6a2,CHI,TEN,2024-09-08,13:00,REG,1
2024_01_NE_CIN,5f14ebd3a8f10d141a7f0c2dcf510368,CIN,NE,2024-09-08,13:00,REG,1
2024_01_HOU_IND,60fdc65ee27ab7dbe07dc06ef35afadc,IND,HOU,2024-09-08,13:00,REG,1
2024_01_JAX_MIA,8c0e75b0a4ea07212e741acf25ad96b6,MIA,JAX,2024-09-08,13:00,REG,1
2024_01_CAR_NO,022add645ca37d612dbb69e8ef02f6b9,NO,CAR,2024-09-08,13:00,REG,1
2024_01_MIN_NYG,c483f5c8e0ee5f1f5abdd75870eeeffc,NYG,MIN,2024-09-08,13:00,REG,1
2024_01_LV_LAC,a2f9dcdf49ccacf33036a0b795413a6e,LAC,LV,2024-09-08,16:05,REG,1
2024_01_DEN_SEA,afb7e137dbb2a3de38d2d3cb68897e3b,SEA,DEN,2024-09-08,16:05,REG,1
2024_01_DAL_CLE,a1682ca5d9e0c4b14d19ed69d6299806,CLE,DAL,2024-09-08,16:25,REG,1
2024_01_WAS_TB,afde2a86c73e9809e147d457d4d40f62,TB,WAS,2024-09-08,16:25,REG,1
2024_01_LA_DET,a71edc36539a782d96fd5c5332ebeabb,DET,LA,2024-09-08,20:20,REG,1
2024_01_NYJ_SF,d94f808523ced7460f7c88c758c481f5,SF,NYJ,2024-09-09,20:15,REG,1
2024_02_BUF_MIA,ddd9b67cf1d68282e1e8652000c0d015,MIA,BUF,2024-09-12,20:15,REG,2
2024_02_LV_BAL,5a2bfc721fb2300d4578743aee7ad891,BAL,LV,2024-09-15,13:00,REG,2
2024_02_LAC_CAR,b4769cda12183128858f49f475aabfce,CAR,LAC,2024-09-15,13:00,REG,2
2024_02_NO_DAL,5b05775b536cda3f2efab93935af4f54,DAL,NO,2024-09-15,13:00,REG,2
2024_02_TB_DET,787ae4144b2b45d7ef8a9c7b1ab6abd8,DET,TB,2024-09-15,13:00,REG,2
2024_02_IND_GB,c4e5642a8746f3e8fbb09d59a611ffe4,GB,IND,2024-09-15,13:00,REG,2
2024_02_CLE_JAX,111ac41e21c6f16a2d3d1511f07e2004,JAX,CLE,2024-09-15,13:00,REG,2
2024_02_SF_MIN,9d5dace601f10c135f5c03facf23fd22,MIN,SF,2024-09-15,13:00,REG,2
2024_02_SEA_NE,42d27889b51ada96c20671b30129ce4e,NE,SEA,2024-09-15,13:00,REG,2
2024_02_NYJ_TEN,17d4d840f9f4094d76c6e9b53b18ac05,TEN,NYJ,2024-09-15,13:00,REG,2
2024_02_NYG_WAS,495d9f2c316b05ef092099ef9401a180,WAS,NYG,2024-09-15,13:00,REG,2
