team,net_rest,rest_adv_games,rest_disadv_games,short_week_road,post_road_prime,opp_extra_prep,negated_bye,in_3_in_10,in_4_in_17
CHI,15,5,2,2,1,2,0,False,False
BUF,14,5,2,3,3,2,0,False,True
DAL,12,4,1,0,4,2,0,False,False
WAS,9,2,1,2,1,2,0,False,False
SEA,9,5,4,2,0,2,0,False,False
CAR,8,3,2,2,1,2,0,False,False
NE,8,4,4,2,2,4,0,False,False
HOU,8,4,3,1,2,2,0,False,False
ATL,7,3,2,1,1,2,0,False,False
TEN,6,3,0,0,0,1,1,False,False
MIN,4,4,2,2,1,2,0,False,False
NYG,3,3,4,1,2,3,0,False,False
DEN,3,5,4,1,1,2,0,False,False
ARI,1,5,3,0,0,3,0,False,False
DET,1,4,3,2,2,4,0,False,False
CLE,0,2,2,0,0,2,0,False,False
SF,0,3,4,2,0,4,0,False,False
TB,-2,3,4,1,1,4,0,False,False
KC,-2,2,5,1,1,4,0,False,False
GB,-2,4,5,1,0,4,1,False,False
BAL,-3,5,4,2,1,4,0,False,False
JAX,-3,2,4,2,1,4,0,False,False
CIN,-4,2,4,0,1,3,0,False,False
MIA,-6,1,5,0,0,5,0,False,False
PIT,-6,3,5,1,2,5,0,False,False
LAR,-6,5,5,2,1,5,1,False,False
IND,-6,3,3,1,1,3,0,False,False
NO,-7,2,4,0,0,3,0,False,False
NYJ,-9,5,4,0,0,4,0,False,False
LV,-13,2,3,0,0,3,0,False,False
PHI,-15,4,5,2,3,6,0,False,False
LAC,-24,3,7,0,1,6,0,False,False
