week,game_date,game_type,team,opponent,is_home,broadcast,days_rest,opp_days_rest,rest_edge,short_week_road,post_road_prime,opp_extra_prep,had_bye,negated_bye,in_3_in_10,in_4_in_17
1,2026-09-13,REG,ARI,LAC,False,CBS,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,ARI,SEA,True,FOX,6,10,-4,False,False,True,False,False,False,False
3,2026-09-27,REG,ARI,SF,False,FOX,6,6,0,False,False,False,False,False,False,False
4,2026-10-04,REG,ARI,NYG,False,CBS,6,6,0,False,False,False,False,False,False,False
5,2026-10-11,REG,ARI,DET,True,FOX,6,6,0,False,False,False,False,False,False,False
6,2026-10-18,REG,ARI,LAR,False,FOX,6,5,1,False,False,False,False,False,False,False
7,2026-10-25,REG,ARI,DEN,True,CBS,6,9,-3,False,False,True,False,False,False,False
8,2026-11-01,REG,ARI,DAL,False,FOX,6,5,1,False,False,False,False,False,False,False
9,2026-11-08,REG,ARI,SEA,False,FOX,6,5,1,False,False,False,False,False,False,False
10,2026-11-15,REG,ARI,LAR,True,CBS,6,6,0,False,False,False,False,False,False,False
11,2026-11-22,REG,ARI,KC,False,CBS,6,6,0,False,False,False,False,False,False,False
12,2026-11-29,REG,ARI,WAS,True,FOX,6,5,1,False,False,False,False,False,False,False
13,2026-12-06,REG,ARI,PHI,True,FOX,6,9,-3,False,False,True,False,False,False,False
15,2026-12-20,REG,ARI,NYJ,True,FOX,13,6,7,False,False,False,True,False,False,False
16,2026-12-27,REG,ARI,NO,False,FOX,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,ARI,LV,True,CBS,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,ARI,SF,True,,6,6,0,False,False,False,False,False,False,False
1,2026-09-13,REG,ATL,PIT,False,FOX,6,6,0,False,False,False,False,False,False,False
2,2026-09-20,REG,ATL,CAR,True,FOX,6,6,0,False,False,False,False,False,False,False
3,2026-09-24,TNF,ATL,GB,False,Prime Video,3,3,0,True,False,False,False,False,False,False
4,2026-10-05,MNF,ATL,NO,False,ESPN,10,7,3,False,False,True,False,False,False,False
5,2026-10-11,SNF,ATL,BAL,True,NBC,5,6,-1,False,True,False,False,False,False,False
6,2026-10-18,REG,ATL,CHI,True,FOX,6,6,0,False,False,False,False,False,False,False
7,2026-10-25,REG,ATL,SF,True,FOX,6,5,1,False,False,False,False,False,False,False
8,2026-11-01,REG,ATL,TB,False,FOX,6,6,0,False,False,False,False,False,False,False
9,2026-11-08,REG,ATL,CIN,True,NFL Net,6,6,0,False,False,False,False,False,False,False
10,2026-11-15,REG,ATL,KC,True,CBS,6,6,0,False,False,False,False,False,False,False
12,2026-11-29,REG,ATL,MIN,False,FOX,13,6,7,False,False,False,True,False,False,False
13,2026-12-06,REG,ATL,DET,True,CBS,6,9,-3,False,False,True,False,False,False,False
14,2026-12-13,REG,ATL,CLE,False,CBS,6,6,0,False,False,False,False,False,False,False
15,2026-12-20,REG,ATL,WAS,False,FOX,6,6,0,False,False,False,False,False,False,False
16,2026-12-27,REG,ATL,TB,True,,6,6,0,False,False,False,False,False,False,False
17,2027-01-03,REG,ATL,NO,True,FOX,6,6,0,False,False,False,False,False,False,False
18,2027-01-10,REG,ATL,CAR,False,,6,6,0,False,False,False,False,False,False,False
