week,game_date,game_type,home_team,away_team,broadcast
1,2026-09-09,WED,SEA,NE,NBC
1,2026-09-10,TNF,LAR,SF,Netflix
1,2026-09-13,REG,CAR,CHI,FOX
1,2026-09-13,REG,CIN,TB,FOX
1,2026-09-13,REG,DET,NO,FOX
1,2026-09-13,REG,HOU,BUF,CBS
1,2026-09-13,REG,IND,BAL,CBS
1,2026-09-13,REG,JAX,CLE,CBS
1,2026-09-13,REG,LAC,ARI,CBS
1,2026-09-13,REG,LV,MIA,FOX
1,2026-09-13,REG,MIN,GB,CBS
1,2026-09-13,SNF,NYG,DAL,NBC
1,2026-09-13,REG,PHI,WAS,FOX
1,2026-09-13,REG,PIT,ATL,FOX
1,2026-09-13,REG,TEN,NYJ,CBS
1,2026-09-14,MNF,KC,DEN,"ESPN,ABC"
2,2026-09-17,TNF,BUF,DET,Prime Video
2,2026-09-20,REG,ARI,SEA,FOX
2,2026-09-20,REG,ATL,CAR,FOX
2,2026-09-20,REG,BAL,NO,CBS
2,2026-09-20,REG,CHI,MIN,FOX
2,2026-09-20,REG,DAL,WAS,FOX
2,2026-09-20,REG,DEN,JAX,CBS
2,2026-09-20,REG,HOU,CIN,CBS
2,2026-09-20,SNF,KC,IND,NBC
2,2026-09-20,REG,LAC,LV,CBS
2,2026-09-20,REG,NE,PIT,CBS
2,2026-09-20,REG,NYJ,GB,FOX
2,2026-09-20,REG,SF,MIA,FOX
2,2026-09-20,REG,TB,CLE,CBS
2,2026-09-20,REG,TEN,PHI,FOX
2,2026-09-21,MNF,LAR,NYG,"ESPN,ABC"
3,2026-09-24,TNF,GB,ATL,Prime Video
3,2026-09-27,REG,BUF,LAC,FOX
3,2026-09-27,REG,CLE,CAR,FOX
3,2026-09-27,REG,DAL,BAL,CBS
3,2026-09-27,SNF,DEN,LAR,NBC
3,2026-09-27,REG,DET,NYJ,FOX
3,2026-09-27,REG,IND,HOU,CBS
3,2026-09-27,REG,JAX,NE,CBS
3,2026-09-27,REG,MIA,KC,CBS
3,2026-09-27,REG,NO,LV,CBS
3,2026-09-27,REG,NYG,TEN,CBS
3,2026-09-27,REG,PIT,CIN,CBS
3,2026-09-27,REG,SF,ARI,FOX
3,2026-09-27,REG,TB,MIN,FOX
3,2026-09-27,REG,WAS,SEA,FOX
3,2026-09-28,MNF,CHI,PHI,"ESPN,ABC"
4,2026-10-01,TNF,CLE,PIT,Prime Video
4,2026-10-04,REG,BAL,TEN,CBS
4,2026-10-04,REG,BUF,NE,CBS
4,2026-10-04,SNF,CAR,DET,NBC
4,2026-10-04,REG,CHI,NYJ,FOX
4,2026-10-04,REG,CIN,JAX,CBS
4,2026-10-04,REG,HOU,DAL,FOX
4,2026-10-04,REG,LV,KC,CBS
4,2026-10-04,REG,MIN,MIA,FOX
4,2026-10-04,REG,NYG,ARI,CBS
4,2026-10-04,REG,PHI,LAR,FOX
4,2026-10-04,REG,SEA,LAC,CBS
4,2026-10-04,REG,SF,DEN,CBS
4,2026-10-04,REG,TB,GB,FOX
4,2026-10-04,REG,WAS,IND,NFL Net
4,2026-10-05,MNF,NO,ATL,ESPN
5,2026-10-08,TNF,DAL,TB,Prime Video
5,2026-10-11,REG,ARI,DET,FOX
5,2026-10-11,SNF,ATL,BAL,NBC
5,2026-10-11,REG,GB,CHI,FOX
5,2026-10-11,REG,JAX,PHI,NFL Net
5,2026-10-11,REG,LAC,DEN,CBS
5,2026-10-11,REG,MIA,CIN,FOX
5,2026-10-11,REG,NE,LV,CBS
5,2026-10-11,REG,NO,MIN,FOX
5,2026-10-11,REG,NYJ,CLE,CBS
5,2026-10-11,REG,PIT,IND,CBS
5,2026-10-11,REG,SEA,SF,FOX
5,2026-10-11,REG,TEN,HOU,CBS
5,2026-10-11,REG,WAS,NYG,FOX
5,2026-10-12,MNF,LAR,BUF,"ESPN,ABC"
6,2026-10-15,TNF,DEN,SEA,Prime Video
6,2026-10-18,REG,ATL,CHI,FOX
6,2026-10-18,REG,CLE,BAL,FOX
6,2026-10-18,SNF,GB,DAL,NBC
6,2026-10-18,REG,IND,TEN,FOX
6,2026-10-18,REG,JAX,HOU,NFL Net
6,2026-10-18,REG,KC,LAC,CBS
6,2026-10-18,REG,LAR,ARI,FOX
6,2026-10-18,REG,LV,BUF,CBS
6,2026-10-18,REG,NE,NYJ,CBS
6,2026-10-18,REG,NYG,NO,FOX
6,2026-10-18,REG,PHI,CAR,CBS
6,2026-10-18,REG,TB,PIT,CBS
6,2026-10-19,MNF,SF,WAS,"ESPN,ABC"
7,2026-10-22,TNF,CHI,NE,Prime Video
7,2026-10-25,REG,ARI,DEN,CBS
7,2026-10-25,REG,ATL,SF,FOX
7,2026-10-25,REG,BAL,CIN,CBS
7,2026-10-25,REG,CAR,TB,FOX
7,2026-10-25,REG,DET,GB,FOX
7,2026-10-25,REG,HOU,NYG,FOX
7,2026-10-25,REG,LV,LAR,FOX
7,2026-10-25,REG,MIN,IND,CBS
7,2026-10-25,REG,NO,PIT,NFL Net
7,2026-10-25,REG,NYJ,MIA,CBS
7,2026-10-25,SNF,SEA,KC,NBC
7,2026-10-25,REG,TEN,CLE,CBS
7,2026-10-26,MNF,PHI,DAL,"ESPN,ABC"
8,2026-10-29,TNF,GB,CAR,Prime Video
8,2026-11-01,REG,BUF,BAL,CBS
8,2026-11-01,REG,CIN,TEN,CBS
8,2026-11-01,REG,DAL,ARI,FOX
8,2026-11-01,REG,DEN,KC,CBS
8,2026-11-01,REG,DET,MIN,FOX
8,2026-11-01,REG,JAX,IND,CBS
8,2026-11-01,REG,LAR,LAC,FOX
8,2026-11-01,REG,MIA,NE,CBS
8,2026-11-01,REG,NYJ,LV,FOX
8,2026-11-01,REG,PIT,CLE,CBS
8,2026-11-01,REG,TB,ATL,FOX
8,2026-11-01,SNF,WAS,PHI,NBC
8,2026-11-02,MNF,SEA,CHI,ESPN
9,2026-11-05,TNF,BAL,JAX,Prime Video
9,2026-11-08,REG,ATL,CIN,NFL Net
9,2026-11-08,REG,CAR,DEN,CBS
9,2026-11-08,SNF,CHI,TB,NBC
9,2026-11-08,REG,IND,DAL,FOX
9,2026-11-08,REG,KC,NYJ,CBS
9,2026-11-08,REG,LAC,HOU,CBS
9,2026-11-08,REG,MIA,DET,FOX
9,2026-11-08,REG,NE,GB,FOX
9,2026-11-08,REG,NO,CLE,CBS
9,2026-11-08,REG,PHI,NYG,FOX
9,2026-11-08,REG,SEA,ARI,FOX
9,2026-11-08,REG,SF,LV,CBS
9,2026-11-08,REG,WAS,LAR,FOX
9,2026-11-09,MNF,MIN,BUF,"ESPN,ABC"
10,2026-11-12,TNF,NYG,WAS,Prime Video
10,2026-11-15,REG,ARI,LAR,CBS
10,2026-11-15,REG,ATL,KC,CBS
10,2026-11-15,SNF,CIN,PIT,NBC
10,2026-11-15,REG,CLE,HOU,FOX
10,2026-11-15,REG,DAL,SF,FOX
10,2026-11-15,REG,DET,NE,FOX
10,2026-11-15,REG,GB,MIN,FOX
10,2026-11-15,REG,IND,MIA,CBS
10,2026-11-15,REG,LV,SEA,CBS
10,2026-11-15,REG,NO,CAR,FOX
10,2026-11-15,REG,NYJ,BUF,CBS
10,2026-11-15,REG,TEN,JAX,FOX
10,2026-11-16,MNF,BAL,LAC,ESPN
11,2026-11-19,TNF,HOU,IND,Prime Video
11,2026-11-22,REG,BUF,MIA,FOX
11,2026-11-22,REG,CAR,BAL,FOX
11,2026-11-22,REG,CHI,NO,FOX
11,2026-11-22,REG,DAL,TEN,FOX
11,2026-11-22,REG,DEN,LV,CBS
11,2026-11-22,REG,DET,TB,CBS
11,2026-11-22,REG,KC,ARI,CBS
11,2026-11-22,REG,LAC,NYJ,FOX
11,2026-11-22,REG,NYG,JAX,CBS
11,2026-11-22,REG,PHI,PIT,CBS
11,2026-11-22,SNF,SF,MIN,NBC
11,2026-11-23,MNF,WAS,CIN,ESPN
12,2026-11-25,WED,LAR,GB,Netflix
12,2026-11-26,TNF,BUF,KC,NBC
12,2026-11-26,TNF,DAL,PHI,FOX
12,2026-11-26,TNF,DET,CHI,CBS
12,2026-11-27,FRI,PIT,DEN,Prime Video
12,2026-11-29,REG,ARI,WAS,FOX
12,2026-11-29,REG,CIN,NO,CBS
12,2026-11-29,REG,CLE,LV,FOX
12,2026-11-29,REG,HOU,BAL,CBS
12,2026-11-29,REG,IND,NYG,FOX
12,2026-11-29,REG,JAX,TEN,CBS
12,2026-11-29,SNF,LAC,NE,NBC
12,2026-11-29,REG,MIA,NYJ,CBS
12,2026-11-29,REG,MIN,ATL,FOX
12,2026-11-29,REG,SF,SEA,FOX
12,2026-11-30,MNF,TB,CAR,ESPN
13,2026-12-03,TNF,LAR,KC,Prime Video
13,2026-12-06,REG,ARI,PHI,FOX
13,2026-12-06,REG,ATL,DET,CBS
13,2026-12-06,REG,CHI,JAX,FOX
13,2026-12-06,REG,CLE,CIN,CBS
13,2026-12-06,REG,DEN,MIA,FOX
13,2026-12-06,REG,MIN,CAR,CBS
13,2026-12-06,REG,NE,BUF,CBS
