player,player_id,date,matchup,result,minutes,fgm,fga,fg_pct,threes_made,threes_attempted,three_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,opponent,home_away,player_normalized
Ochai Agbaji,1630534,2025-11-23,TOR vs. BKN,W,14.0,3,7,0.429,0,1,0.0,0,0,0.0,1,1,2,2,0,0,0,3,6,-3,BKN,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-11-21,TOR vs. WAS,W,16.0,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,7,WAS,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-11-08,TOR @ PHI,L,15.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-3,PHI,AWAY,Ochai Agbaji
Ochai Agbaji,1630534,2025-11-04,TOR vs. MIL,W,5.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,MIL,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-11-02,TOR vs. MEM,W,16.0,2,4,0.5,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,2,4,-1,MEM,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-31,TOR @ CLE,W,17.0,1,3,0.333,0,1,0.0,1,2,0.5,1,6,7,2,1,1,1,3,3,21,CLE,AWAY,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-29,TOR vs. HOU,L,7.0,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,0,0,0,0,1,1,-9,HOU,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-27,TOR @ SAS,L,12.0,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,2,1,0,0,0,4,5,SAS,AWAY,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-26,TOR @ DAL,L,22.0,1,5,0.2,1,4,0.25,2,2,1.0,0,3,3,0,1,0,0,2,5,-10,DAL,AWAY,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-24,TOR vs. MIL,L,12.0,1,1,1.0,0,0,0.0,1,2,0.5,0,1,1,1,0,0,1,3,3,-2,MIL,HOME,Ochai Agbaji
Ochai Agbaji,1630534,2025-10-22,TOR @ ATL,W,20.0,2,5,0.4,0,3,0.0,0,0,0.0,1,2,3,1,2,0,0,3,4,15,ATL,AWAY,Ochai Agbaji
Precious Achiuwa,1630173,2025-11-22,SAC @ DEN,W,24.0,3,4,0.75,0,0,0.0,1,1,1.0,2,2,4,0,1,0,0,3,7,5,DEN,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-20,SAC @ MEM,L,24.0,1,3,0.333,0,2,0.0,0,0,0.0,0,5,5,2,0,0,0,1,2,-25,MEM,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-19,SAC @ OKC,L,26.0,6,12,0.5,1,1,1.0,2,4,0.5,5,4,9,3,1,0,2,2,15,-6,OKC,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-16,SAC @ SAS,L,5.0,0,2,0.0,0,2,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,3,SAS,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-14,SAC @ MIN,L,20.0,2,4,0.5,0,1,0.0,0,1,0.0,1,2,3,0,3,1,0,3,4,-14,MIN,AWAY,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-12,SAC vs. ATL,L,20.0,4,6,0.667,0,0,0.0,2,4,0.5,2,3,5,2,0,0,0,0,10,-14,ATL,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-11,SAC vs. DEN,L,18.0,3,5,0.6,0,2,0.0,0,0,0.0,2,1,3,3,1,0,1,1,6,-13,DEN,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-09,SAC vs. MIN,L,29.0,5,7,0.714,0,1,0.0,2,3,0.667,4,6,10,0,0,1,1,3,12,-10,MIN,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-07,SAC vs. OKC,L,17.0,1,5,0.2,0,2,0.0,2,3,0.667,0,4,4,0,1,0,0,0,4,2,OKC,HOME,Precious Achiuwa
Precious Achiuwa,1630173,2025-11-05,SAC vs. GSW,W,9.0,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,0,4,5,GSW,HOME,Precious Achiuwa
Nickeil Alexander-Walker,1629638,2025-11-23,ATL vs. CHA,W,39.0,8,17,0.471,3,7,0.429,4,6,0.667,2,3,5,4,1,1,1,4,23,-7,CHA,HOME,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-22,ATL @ NOP,W,36.0,4,11,0.364,2,6,0.333,0,0,0.0,1,4,5,3,1,0,1,2,10,11,NOP,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-20,ATL @ SAS,L,34.0,13,17,0.765,8,10,0.8,4,4,1.0,1,3,4,5,0,3,2,3,38,-7,SAS,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-18,ATL vs. DET,L,37.0,9,20,0.45,1,9,0.111,5,6,0.833,0,3,3,3,0,0,0,4,24,-19,DET,HOME,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-16,ATL @ PHX,W,35.0,9,18,0.5,3,9,0.333,5,7,0.714,1,2,3,4,2,0,2,2,26,22,PHX,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-13,ATL @ UTA,W,30.0,4,11,0.364,1,3,0.333,7,8,0.875,1,1,2,5,2,2,2,0,16,15,UTA,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-12,ATL @ SAC,W,22.0,5,11,0.455,1,4,0.25,3,3,1.0,1,5,6,5,0,2,4,1,14,44,SAC,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-07,ATL vs. TOR,L,30.0,7,14,0.5,3,6,0.5,3,4,0.75,0,2,2,3,0,0,3,3,20,-13,TOR,HOME,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-04,ATL vs. ORL,W,32.0,6,11,0.545,3,5,0.6,5,6,0.833,0,1,1,2,0,1,7,4,20,5,ORL,HOME,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-11-02,ATL @ CLE,L,34.0,3,11,0.273,0,4,0.0,10,11,0.909,0,3,3,5,0,1,5,3,16,-12,CLE,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-31,ATL @ IND,W,32.0,8,14,0.571,1,5,0.2,4,5,0.8,1,2,3,3,2,0,3,1,21,17,IND,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-29,ATL @ BKN,W,32.0,7,17,0.412,2,8,0.25,2,2,1.0,0,3,3,3,2,3,1,1,18,-2,BKN,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-27,ATL @ CHI,L,30.0,6,11,0.545,4,6,0.667,1,2,0.5,2,1,3,3,1,0,0,3,17,-13,CHI,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-25,ATL vs. OKC,L,30.0,6,10,0.6,3,6,0.5,2,2,1.0,1,2,3,2,2,1,2,0,17,-18,OKC,HOME,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-24,ATL @ ORL,W,31.0,8,18,0.444,1,10,0.1,2,2,1.0,0,1,1,4,1,0,1,0,19,-1,ORL,AWAY,Nickeil Alexander-Walker
Nickeil Alexander-Walker,1629638,2025-10-22,ATL vs. TOR,L,28.0,2,15,0.133,1,5,0.2,5,6,0.833,1,3,4,4,1,1,1,2,10,-2,TOR,HOME,Nickeil Alexander-Walker
Cole Anthony,1630175,2025-11-22,MIL vs. DET,L,14.0,2,5,0.4,0,2,0.0,0,0,0.0,0,3,3,2,1,1,5,0,4,10,DET,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-20,MIL vs. PHI,L,21.0,2,7,0.286,1,2,0.5,0,0,0.0,0,4,4,7,0,0,4,2,5,-6,PHI,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-17,MIL @ CLE,L,22.0,2,8,0.25,0,0,0.0,0,0,0.0,0,1,1,8,0,0,2,2,4,-11,CLE,AWAY,Cole Anthony
Cole Anthony,1630175,2025-11-15,MIL vs. LAL,L,18.0,0,5,0.0,0,1,0.0,0,0,0.0,1,4,5,7,2,0,2,2,0,0,LAL,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-14,MIL vs. CHA,W,19.0,4,7,0.571,1,3,0.333,1,2,0.5,1,2,3,5,1,0,4,3,10,-13,CHA,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-12,MIL @ CHA,L,15.0,2,12,0.167,0,2,0.0,0,0,0.0,0,2,2,3,0,0,0,2,4,-18,CHA,AWAY,Cole Anthony
Cole Anthony,1630175,2025-11-10,MIL @ DAL,W,17.0,2,7,0.286,0,0,0.0,0,0,0.0,1,4,5,3,1,0,4,0,4,-16,DAL,AWAY,Cole Anthony
Cole Anthony,1630175,2025-11-09,MIL vs. HOU,L,18.0,5,9,0.556,1,2,0.5,1,1,1.0,0,5,5,6,0,1,4,1,12,8,HOU,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-07,MIL vs. CHI,W,22.0,5,14,0.357,1,5,0.2,0,0,0.0,1,1,2,5,1,0,1,2,11,3,CHI,HOME,Cole Anthony
Cole Anthony,1630175,2025-11-04,MIL @ TOR,L,24.0,5,9,0.556,0,2,0.0,2,3,0.667,1,3,4,4,1,1,0,3,12,-20,TOR,AWAY,Cole Anthony
Cole Anthony,1630175,2025-11-03,MIL @ IND,W,23.0,4,8,0.5,3,4,0.75,0,0,0.0,1,3,4,4,1,0,3,3,11,4,IND,AWAY,Cole Anthony
Cole Anthony,1630175,2025-11-01,MIL vs. SAC,L,13.0,1,4,0.25,0,0,0.0,1,2,0.5,0,2,2,5,0,0,3,3,3,2,SAC,HOME,Cole Anthony
Cole Anthony,1630175,2025-10-30,MIL vs. GSW,W,21.0,7,15,0.467,2,7,0.286,0,0,0.0,0,3,3,2,1,1,3,6,16,6,GSW,HOME,Cole Anthony
Cole Anthony,1630175,2025-10-28,MIL vs. NYK,W,24.0,2,7,0.286,0,4,0.0,0,0,0.0,0,4,4,9,0,1,1,4,4,1,NYK,HOME,Cole Anthony
Cole Anthony,1630175,2025-10-24,MIL @ TOR,W,27.0,9,14,0.643,2,5,0.4,3,7,0.429,2,2,4,7,2,0,1,3,23,5,TOR,AWAY,Cole Anthony
Cole Anthony,1630175,2025-10-22,MIL vs. WAS,W,12.0,4,5,0.8,1,2,0.5,0,0,0.0,0,2,2,5,0,1,1,5,9,8,WAS,HOME,Cole Anthony
Bam Adebayo,1628389,2025-11-23,MIA @ PHI,W,33.0,7,14,0.5,1,4,0.25,3,4,0.75,3,10,13,1,1,0,2,1,18,4,PHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-11-21,MIA @ CHI,W,29.0,4,11,0.364,2,5,0.4,8,10,0.8,1,6,7,5,0,3,1,3,18,24,CHI,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-11-19,MIA vs. GSW,W,29.0,7,13,0.538,3,4,0.75,3,3,1.0,1,6,7,3,1,2,1,1,20,15,GSW,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-11-05,MIA @ DEN,L,8.0,1,5,0.2,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,4,DEN,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-11-03,MIA @ LAC,W,30.0,10,18,0.556,2,4,0.5,3,5,0.6,0,10,10,4,2,0,2,1,25,2,LAC,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-11-02,MIA @ LAL,L,36.0,6,11,0.545,1,5,0.2,4,4,1.0,1,7,8,5,3,1,0,1,17,-13,LAL,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-10-30,MIA @ SAS,L,37.0,12,27,0.444,4,13,0.308,3,4,0.75,1,9,10,3,1,1,2,2,31,7,SAS,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-10-28,MIA vs. CHA,W,30.0,10,16,0.625,3,5,0.6,3,4,0.75,1,5,6,2,0,0,1,2,26,29,CHA,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-10-26,MIA vs. NYK,W,38.0,5,15,0.333,1,5,0.2,8,8,1.0,1,12,13,3,1,0,6,1,19,10,NYK,HOME,Bam Adebayo
Bam Adebayo,1628389,2025-10-24,MIA @ MEM,W,28.0,8,19,0.421,4,8,0.5,4,4,1.0,1,4,5,4,1,0,1,2,24,25,MEM,AWAY,Bam Adebayo
Bam Adebayo,1628389,2025-10-22,MIA @ ORL,L,34.0,4,13,0.308,1,5,0.2,6,7,0.857,3,9,12,2,0,0,4,3,15,-2,ORL,AWAY,Bam Adebayo
Santi Aldama,1630583,2025-11-22,MEM @ DAL,W,35.0,9,17,0.529,2,5,0.4,0,0,0.0,2,6,8,4,1,1,0,1,20,10,DAL,AWAY,Santi Aldama
Santi Aldama,1630583,2025-11-20,MEM vs. SAC,W,28.0,11,18,0.611,5,11,0.455,2,3,0.667,0,5,5,3,0,2,1,0,29,28,SAC,HOME,Santi Aldama
Santi Aldama,1630583,2025-11-18,MEM @ SAS,L,26.0,4,10,0.4,0,2,0.0,2,2,1.0,2,4,6,2,1,1,1,0,10,-2,SAS,AWAY,Santi Aldama
Santi Aldama,1630583,2025-11-15,MEM @ CLE,L,25.0,5,9,0.556,2,4,0.5,0,2,0.0,1,10,11,2,1,0,0,3,12,-13,CLE,AWAY,Santi Aldama
Santi Aldama,1630583,2025-11-12,MEM @ BOS,L,24.0,4,11,0.364,2,7,0.286,4,6,0.667,2,4,6,4,2,1,1,0,14,4,BOS,AWAY,Santi Aldama
Santi Aldama,1630583,2025-11-11,MEM @ NYK,L,30.0,8,10,0.8,1,3,0.333,2,4,0.5,0,7,7,3,0,0,0,2,19,-11,NYK,AWAY,Santi Aldama
Santi Aldama,1630583,2025-11-09,MEM vs. OKC,L,30.0,5,10,0.5,1,4,0.25,1,1,1.0,1,8,9,4,1,2,4,3,12,-12,OKC,HOME,Santi Aldama
Santi Aldama,1630583,2025-11-07,MEM vs. DAL,W,28.0,5,12,0.417,3,7,0.429,3,4,0.75,0,2,2,2,0,0,2,2,16,-7,DAL,HOME,Santi Aldama
Santi Aldama,1630583,2025-11-05,MEM vs. HOU,L,26.0,5,12,0.417,1,5,0.2,5,6,0.833,1,3,4,1,2,1,0,0,16,-7,HOU,HOME,Santi Aldama
Santi Aldama,1630583,2025-11-03,MEM vs. DET,L,23.0,5,9,0.556,1,3,0.333,0,0,0.0,2,3,5,1,0,0,3,1,11,-14,DET,HOME,Santi Aldama
Santi Aldama,1630583,2025-11-02,MEM @ TOR,L,28.0,5,14,0.357,2,7,0.286,3,4,0.75,1,3,4,2,0,0,0,1,15,-6,TOR,AWAY,Santi Aldama
Santi Aldama,1630583,2025-10-31,MEM vs. LAL,L,26.0,3,12,0.25,1,5,0.2,0,0,0.0,4,6,10,4,1,0,2,2,7,-9,LAL,HOME,Santi Aldama
Santi Aldama,1630583,2025-10-29,MEM @ PHX,W,31.0,6,12,0.5,2,5,0.4,0,0,0.0,2,8,10,5,3,0,1,1,14,8,PHX,AWAY,Santi Aldama
Santi Aldama,1630583,2025-10-27,MEM @ GSW,L,22.0,6,13,0.462,2,6,0.333,0,2,0.0,1,5,6,4,3,0,2,1,14,2,GSW,AWAY,Santi Aldama
Santi Aldama,1630583,2025-10-25,MEM vs. IND,W,21.0,4,9,0.444,1,3,0.333,0,0,0.0,3,5,8,1,0,2,0,1,9,13,IND,HOME,Santi Aldama
Santi Aldama,1630583,2025-10-24,MEM vs. MIA,L,20.0,6,9,0.667,1,2,0.5,0,1,0.0,3,5,8,0,1,0,1,0,13,-12,MIA,HOME,Santi Aldama
Santi Aldama,1630583,2025-10-22,MEM vs. NOP,W,24.0,2,7,0.286,0,3,0.0,1,3,0.333,1,5,6,2,1,2,2,5,5,9,NOP,HOME,Santi Aldama
Steven Adams,203500,2025-11-21,HOU vs. DEN,L,23.0,2,2,1.0,0,0,0.0,1,3,0.333,5,3,8,2,0,0,1,1,5,14,DEN,HOME,Steven Adams
Steven Adams,203500,2025-11-19,HOU @ CLE,W,28.0,2,6,0.333,0,0,0.0,2,2,1.0,6,5,11,3,0,1,2,2,6,6,CLE,AWAY,Steven Adams
Steven Adams,203500,2025-11-16,HOU vs. ORL,W,27.0,1,8,0.125,0,0,0.0,1,2,0.5,8,5,13,0,0,0,2,3,3,-2,ORL,HOME,Steven Adams
Steven Adams,203500,2025-11-14,HOU vs. POR,W,18.0,2,4,0.5,0,0,0.0,1,2,0.5,5,6,11,0,1,2,0,1,5,22,POR,HOME,Steven Adams
Steven Adams,203500,2025-11-12,HOU vs. WAS,W,17.0,2,5,0.4,0,0,0.0,1,2,0.5,5,3,8,4,0,2,1,2,5,21,WAS,HOME,Steven Adams
Steven Adams,203500,2025-11-09,HOU @ MIL,W,22.0,5,7,0.714,0,0,0.0,2,2,1.0,5,1,6,1,0,0,1,2,12,-3,MIL,AWAY,Steven Adams
Steven Adams,203500,2025-11-07,HOU @ SAS,L,20.0,1,4,0.25,0,0,0.0,1,1,1.0,3,5,8,1,1,0,0,2,3,-7,SAS,AWAY,Steven Adams
Steven Adams,203500,2025-11-03,HOU vs. DAL,W,23.0,2,3,0.667,0,0,0.0,0,2,0.0,3,6,9,1,2,2,1,3,4,6,DAL,HOME,Steven Adams
Steven Adams,203500,2025-11-01,HOU @ BOS,W,14.0,2,3,0.667,0,0,0.0,0,0,0.0,3,2,5,3,0,0,1,1,4,13,BOS,AWAY,Steven Adams
Steven Adams,203500,2025-10-29,HOU @ TOR,W,20.0,5,6,0.833,0,0,0.0,2,2,1.0,8,4,12,2,1,1,1,3,12,14,TOR,AWAY,Steven Adams
Steven Adams,203500,2025-10-27,HOU vs. BKN,W,16.0,0,1,0.0,0,0,0.0,4,4,1.0,5,3,8,1,0,1,1,1,4,20,BKN,HOME,Steven Adams
Steven Adams,203500,2025-10-24,HOU vs. DET,L,25.0,4,4,1.0,0,0,0.0,3,4,0.75,6,4,10,0,3,0,1,2,11,-4,DET,HOME,Steven Adams
Steven Adams,203500,2025-10-21,HOU @ OKC,L,37.0,1,4,0.25,0,0,0.0,2,2,1.0,5,8,13,3,0,0,3,4,4,2,OKC,AWAY,Steven Adams
OG Anunoby,1628384,2025-11-14,NYK vs. MIA,W,5.0,1,4,0.25,0,1,0.0,0,0,0.0,2,1,3,0,0,0,0,1,2,1,MIA,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-12,NYK vs. ORL,L,34.0,2,4,0.5,2,4,0.5,2,2,1.0,0,4,4,1,1,2,3,3,8,1,ORL,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-11,NYK vs. MEM,W,36.0,7,17,0.412,1,10,0.1,1,2,0.5,0,4,4,3,2,0,4,5,16,24,MEM,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-09,NYK vs. BKN,W,27.0,6,11,0.545,4,6,0.667,3,4,0.75,4,4,8,3,1,0,1,1,19,32,BKN,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-05,NYK vs. MIN,W,32.0,10,17,0.588,3,5,0.6,2,2,1.0,5,3,8,1,2,1,1,1,25,14,MIN,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-03,NYK vs. WAS,W,32.0,7,13,0.538,2,5,0.4,0,0,0.0,1,5,6,2,5,0,2,1,16,9,WAS,HOME,Og Anunoby
OG Anunoby,1628384,2025-11-02,NYK vs. CHI,W,35.0,8,17,0.471,3,7,0.429,2,2,1.0,0,2,2,4,2,1,1,1,21,22,CHI,HOME,Og Anunoby
OG Anunoby,1628384,2025-10-31,NYK @ CHI,L,36.0,10,13,0.769,5,7,0.714,1,2,0.5,1,3,4,3,1,1,1,4,26,6,CHI,AWAY,Og Anunoby
OG Anunoby,1628384,2025-10-28,NYK @ MIL,L,34.0,3,11,0.273,1,6,0.167,2,3,0.667,2,4,6,5,1,1,2,4,9,-6,MIL,AWAY,Og Anunoby
OG Anunoby,1628384,2025-10-26,NYK @ MIA,L,37.0,4,13,0.308,4,12,0.333,2,2,1.0,1,5,6,1,3,1,2,4,14,4,MIA,AWAY,Og Anunoby
OG Anunoby,1628384,2025-10-24,NYK vs. BOS,W,29.0,3,10,0.3,2,7,0.286,2,2,1.0,1,1,2,1,2,0,1,3,10,10,BOS,HOME,Og Anunoby
OG Anunoby,1628384,2025-10-22,NYK vs. CLE,W,38.0,9,17,0.529,4,9,0.444,2,4,0.5,2,12,14,2,3,1,4,0,24,10,CLE,HOME,Og Anunoby
Thanasis Antetokounmpo,203648,2025-11-22,MIL vs. DET,L,2.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,1,0,2,2,4,DET,HOME,Thanasis Antetokounmpo
Thanasis Antetokounmpo,203648,2025-11-15,MIL vs. LAL,L,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0,-2,LAL,HOME,Thanasis Antetokounmpo
Thanasis Antetokounmpo,203648,2025-11-14,MIL vs. CHA,W,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,CHA,HOME,Thanasis Antetokounmpo
Thanasis Antetokounmpo,203648,2025-11-12,MIL @ CHA,L,4.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,1,2,10,CHA,AWAY,Thanasis Antetokounmpo
Thanasis Antetokounmpo,203648,2025-10-22,MIL vs. WAS,W,2.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,WAS,HOME,Thanasis Antetokounmpo
Deandre Ayton,1629028,2025-11-23,LAL @ UTA,W,13.0,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,1,0,0,1,2,-4,UTA,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-18,LAL vs. UTA,W,30.0,10,13,0.769,0,0,0.0,0,2,0.0,4,10,14,1,1,1,1,2,20,10,UTA,HOME,Deandre Ayton
Deandre Ayton,1629028,2025-11-15,LAL @ MIL,W,28.0,9,13,0.692,0,0,0.0,2,2,1.0,2,8,10,0,2,1,3,5,20,12,MIL,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-14,LAL @ NOP,W,36.0,10,11,0.909,0,0,0.0,0,0,0.0,3,13,16,2,2,1,4,5,20,35,NOP,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-12,LAL @ OKC,L,26.0,3,5,0.6,0,0,0.0,0,1,0.0,3,2,5,1,1,0,4,4,6,-18,OKC,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-10,LAL @ CHA,W,33.0,7,10,0.7,0,0,0.0,0,0,0.0,3,3,6,0,0,0,3,3,14,2,CHA,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-08,LAL @ ATL,L,20.0,5,5,1.0,0,0,0.0,1,1,1.0,2,3,5,0,0,0,3,0,11,-15,ATL,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-11-05,LAL vs. SAS,W,33.0,9,13,0.692,0,0,0.0,4,4,1.0,4,6,10,0,1,2,0,3,22,1,SAS,HOME,Deandre Ayton
Deandre Ayton,1629028,2025-11-03,LAL @ POR,W,31.0,14,19,0.737,0,0,0.0,1,2,0.5,4,6,10,2,0,3,3,5,29,8,POR,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-10-31,LAL @ MEM,W,17.0,4,6,0.667,0,0,0.0,1,1,1.0,0,0,0,0,0,0,1,0,9,-17,MEM,AWAY,Deandre Ayton
Deandre Ayton,1629028,2025-10-29,LAL @ MIN,W,35.0,8,11,0.727,0,0,0.0,1,2,0.5,1,9,10,3,0,1,2,3,17,0,MIN,AWAY,Deandre Ayton
