player,away_team,home_team,game_time,market,prop_line,over_odds,under_odds,bookmaker,bookmaker_last_update,market_last_update,fetch_date,season,odds_api_event_id
Coby White,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,118,-158,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-120,-110,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-122,-108,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,-112,-118,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,13.5,110,-146,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-108,-122,fanduel,,2026-03-25T00:03:18Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,13.5,100,-130,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
LaMelo Ball,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,6.5,-115,-115,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-140,110,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-120,-110,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Kon Knueppel,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-105,-125,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Coby White,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,105,-135,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Devin Carter,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,124,-160,draftkings,,2026-03-25T00:02:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,4.5,-120,-110,fanatics,,2026-03-25T00:03:38Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Brandon Miller,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,200,-280,williamhill_us,,2026-03-25T00:08:37Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Miles Bridges,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,5.5,200,-290,williamhill_us,,2026-03-25T00:08:37Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Moussa Diabate,Sacramento Kings,Charlotte Hornets,2026-03-24T23:11:00Z,player_rebounds,11.5,-230,165,williamhill_us,,2026-03-25T00:08:37Z,20260325T000953Z,2025-26,c4901bf9c9ebf81236d22ca4626b5a31
Saddiq Bey,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,5.5,102,-136,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,3.5,122,-162,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Trey Murphy III,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,6.5,-108,-122,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,2.5,136,-182,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,11.5,104,-138,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,3.5,-102,-130,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,3.5,118,-158,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,6.5,-140,106,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
OG Anunoby,New Orleans Pelicans,New York Knicks,2026-03-24T23:44:00Z,player_rebounds,5.5,102,-136,fanduel,,2026-03-25T00:09:40Z,20260325T000953Z,2025-26,3ffbb865981907829bb58d7f86351ba0
