sport,bookmaker,team,odds,implied_prob,record
NBA,draftkings,Oklahoma City Thunder,120,0.45454545454545453,36-8
NBA,draftkings,Denver Nuggets,550,0.15384615384615385,29-15
NBA,draftkings,San Antonio Spurs,1200,0.07692307692307693,30-14
NBA,draftkings,Detroit Pistons,1700,0.05555555555555555,31-10
NBA,draftkings,Houston Rockets,1700,0.05555555555555555,26-15
NBA,draftkings,New York Knicks,1700,0.05555555555555555,25-18
NBA,draftkings,Boston Celtics,2000,0.047619047619047616,26-16
NBA,draftkings,Los Angeles Lakers,3000,0.03225806451612903,26-16
NBA,draftkings,Minnesota Timberwolves,3000,0.03225806451612903,27-17
NBA,draftkings,Cleveland Cavaliers,3000,0.03225806451612903,24-20
NBA,draftkings,Philadelphia 76ers,4500,0.021739130434782608,23-19
NBA,draftkings,Orlando Magic,5000,0.0196078431372549,23-19
NBA,draftkings,Miami Heat,7500,0.013157894736842105,23-21
NBA,draftkings,Los Angeles Clippers,8000,0.012345679012345678,19-24
NBA,draftkings,Golden State Warriors,12000,0.008264462809917356,25-20
NBA,draftkings,Atlanta Hawks,12000,0.008264462809917356,20-25
NBA,draftkings,Milwaukee Bucks,15000,0.006622516556291391,18-24
NBA,draftkings,Toronto Raptors,15000,0.006622516556291391,26-19
NBA,draftkings,Phoenix Suns,20000,0.004975124378109453,27-17
NBA,draftkings,Dallas Mavericks,80000,0.0012484394506866417,18-26
NBA,draftkings,Charlotte Hornets,100000,0.000999000999000999,16-27
NBA,draftkings,Chicago Bulls,100000,0.000999000999000999,21-22
NBA,draftkings,Portland Trail Blazers,100000,0.000999000999000999,22-22
NBA,draftkings,Sacramento Kings,200000,0.0004997501249375312,12-32
NBA,draftkings,Memphis Grizzlies,200000,0.0004997501249375312,18-23
NBA,draftkings,Washington Wizards,200000,0.0004997501249375312,10-32
NBA,draftkings,Brooklyn Nets,200000,0.0004997501249375312,12-29
NBA,draftkings,Utah Jazz,200000,0.0004997501249375312,15-29
NBA,draftkings,Indiana Pacers,200000,0.0004997501249375312,10-34
NBA,draftkings,New Orleans Pelicans,200000,0.0004997501249375312,10-35
NBA,fanduel,Oklahoma City Thunder,105,0.4878048780487805,36-8
NBA,fanduel,Denver Nuggets,650,0.13333333333333333,29-15
NBA,fanduel,San Antonio Spurs,1200,0.07692307692307693,30-14
NBA,fanduel,Boston Celtics,1500,0.0625,26-16
NBA,fanduel,Houston Rockets,1700,0.05555555555555555,26-15
NBA,fanduel,Detroit Pistons,1700,0.05555555555555555,31-10
NBA,fanduel,New York Knicks,1800,0.05263157894736842,25-18
NBA,fanduel,Cleveland Cavaliers,2500,0.038461538461538464,24-20
NBA,fanduel,Minnesota Timberwolves,2700,0.03571428571428571,27-17
NBA,fanduel,Los Angeles Lakers,3500,0.027777777777777776,26-16
NBA,fanduel,Orlando Magic,5000,0.0196078431372549,23-19
NBA,fanduel,Philadelphia 76ers,6000,0.01639344262295082,23-19
NBA,fanduel,Los Angeles Clippers,8000,0.012345679012345678,19-24
NBA,fanduel,Miami Heat,10000,0.009900990099009901,23-21
NBA,fanduel,Golden State Warriors,15000,0.006622516556291391,25-20
NBA,fanduel,Atlanta Hawks,17500,0.005681818181818182,20-25
NBA,fanduel,Phoenix Suns,20000,0.004975124378109453,27-17
NBA,fanduel,Toronto Raptors,20000,0.004975124378109453,26-19
