play_num,quarter,game_minute,cumulative_points,prob_over,prob_over_smooth
1,1,0.0000,0,0.4910,0.4752
2,1,0.1833,0,0.4910,0.4724
3,1,0.5167,0,0.4850,0.4710
4,1,0.5167,0,0.4740,0.4685
5,1,0.5167,0,0.4620,0.4647
6,1,0.5500,0,0.4920,0.4708
7,1,0.6500,0,0.4760,0.4757
8,1,0.6833,0,0.4830,0.4784
9,1,0.9167,0,0.4420,0.4809
10,1,0.9500,0,0.4560,0.4822
11,1,1.1167,0,0.4440,0.4849
12,1,1.1667,0,0.4560,0.4910
13,1,1.1833,0,0.4380,0.4960
14,1,1.2833,0,0.4160,0.5012
15,1,1.5167,2,0.5560,0.5070
16,1,1.5667,2,0.5490,0.5124
17,1,1.8500,2,0.5210,0.5144
18,1,2.0000,2,0.5250,0.5178
19,1,2.0000,2,0.5040,0.5206
20,1,2.0000,2,0.5360,0.5260
21,1,2.0000,3,0.6130,0.5314
22,1,2.3667,3,0.5910,0.5349
23,1,2.3667,3,0.5910,0.5374
24,1,2.3667,3,0.5890,0.5416
25,1,2.3667,3,0.5710,0.5465
26,1,2.3667,3,0.5310,0.5452
27,1,2.3833,3,0.5450,0.5426
28,1,2.6167,3,0.5370,0.5416
29,1,2.6500,3,0.5510,0.5383
30,1,2.7500,3,0.5640,0.5378
31,1,2.9667,3,0.5140,0.5363
32,1,3.1333,3,0.5050,0.5302
33,1,3.1333,3,0.5230,0.5313
34,1,3.1333,3,0.5140,0.5315
35,1,3.3167,3,0.5300,0.5317
36,1,3.5167,3,0.4980,0.5328
37,1,3.5667,3,0.5010,0.5354
38,1,3.6667,3,0.4570,0.5365
39,1,3.6667,3,0.4940,0.5382
40,1,3.6667,3,0.5060,0.5384
41,1,3.6667,3,0.4920,0.5390
42,1,3.9167,5,0.6130,0.5402
43,1,4.2500,5,0.5960,0.5422
44,1,4.5000,5,0.5930,0.5461
45,1,4.5000,5,0.5910,0.5470
48,1,4.6833,5,0.5850,0.5467
46,1,4.6833,5,0.5670,0.5481
47,1,4.6833,5,0.5700,0.5491
49,1,4.7167,5,0.5560,0.5514
50,1,4.9000,5,0.5740,0.5523
51,1,5.1000,5,0.5390,0.5514
52,1,5.1167,5,0.5460,0.5515
53,1,5.2000,5,0.6000,0.5439
54,1,5.2000,5,0.5310,0.5381
55,1,5.4833,5,0.5260,0.5301
56,1,5.5667,5,0.5250,0.5252
57,1,5.8000,5,0.5210,0.5175
58,1,5.8000,5,0.5030,0.5121
59,1,5.9667,5,0.5120,0.5058
60,1,6.0000,5,0.4880,0.5004
61,1,6.1500,5,0.4940,0.4935
62,1,6.2167,5,0.4610,0.4874
63,1,6.3333,5,0.4800,0.4812
64,1,6.6333,5,0.4320,0.4721
65,1,6.6333,5,0.4930,0.4676
66,1,6.8500,5,0.4320,0.4617
67,1,6.9167,5,0.4590,0.4569
68,1,6.9500,5,0.4430,0.4539
69,1,7.0500,5,0.4480,0.4522
70,1,7.0500,5,0.4370,0.4466
71,1,7.0500,5,0.4160,0.4456
72,1,7.1000,5,0.4220,0.4450
73,1,7.1000,5,0.4190,0.4437
74,1,7.3500,5,0.4410,0.4419
75,1,7.6167,5,0.4090,0.4420
76,1,7.6333,5,0.4280,0.4393
80,1,7.6500,6,0.4610,0.4396
79,1,7.6500,6,0.4690,0.4381
77,1,7.6500,5,0.4010,0.4370
78,1,7.6500,6,0.4670,0.4366
81,1,7.6667,6,0.4820,0.4364
82,1,8.0167,6,0.4340,0.4362
83,1,8.0333,6,0.4450,0.4350
84,1,8.1167,6,0.4340,0.4341
85,1,8.2833,6,0.4400,0.4421
86,1,8.2833,6,0.4370,0.4515
87,1,8.2833,6,0.4300,0.4585
88,1,8.2833,6,0.4200,0.4639
89,1,8.5333,6,0.4400,0.4705
90,1,8.5500,6,0.4330,0.4795
91,1,8.7167,6,0.4130,0.4856
92,1,8.8833,6,0.3960,0.4896
93,1,8.9000,6,0.4010,0.4957
94,1,9.0500,9,0.6030,0.5071
95,1,9.2000,9,0.5960,0.5186
96,1,9.2000,9,0.5690,0.5325
97,1,9.2000,9,0.5690,0.5457
98,1,9.2000,9,0.6000,0.5608
99,1,9.2000,9,0.5800,0.5759
100,1,9.4500,9,0.5910,0.5911
101,1,9.7500,9,0.5600,0.6047
102,1,10.0167,9,0.5580,0.6205
103,1,10.2000,11,0.6720,0.6347
104,1,10.2000,11,0.6640,0.6474
105,1,10.2000,12,0.7180,0.6515
106,1,10.5333,12,0.7010,0.6564
108,1,10.5833,12,0.7320,0.6624
107,1,10.5833,12,0.7230,0.6689
109,1,10.8000,12,0.7430,0.6730
110,1,10.8333,12,0.7040,0.6767
111,1,10.8667,12,0.7300,0.6814
112,1,10.9000,12,0.6810,0.6867
113,1,10.9833,12,0.6540,0.6924
114,1,10.9833,12,0.6850,0.6912
115,1,10.9833,12,0.6940,0.6893
116,1,11.0200,12,0.6890,0.6856
117,1,11.2000,12,0.6990,0.6835
118,1,11.2750,12,0.6820,0.6786
119,1,11.4650,12,0.6550,0.6750
120,1,11.5033,12,0.6830,0.6690
121,1,11.5850,12,0.6680,0.6659
122,1,11.6433,12,0.6710,0.6615
123,1,11.6483,12,0.6480,0.6591
125,1,11.9967,12,0.6260,0.6582
124,1,11.9967,12,0.6440,0.6549
126,1,12.0000,12,0.6600,0.6498
127,2,12.0000,12,0.6330,0.6452
128,2,12.0000,12,0.6510,0.6405
129,2,12.0000,12,0.6230,0.6352
130,2,12.0000,12,0.6410,0.6346
131,2,12.0000,12,0.6430,0.6293
132,2,12.2833,12,0.6320,0.6262
133,2,12.6667,12,0.6370,0.6224
134,2,12.7167,12,0.6180,0.6200
135,2,12.8000,12,0.5930,0.6160
136,2,12.8500,12,0.5980,0.6089
137,2,13.0167,12,0.6040,0.6005
139,2,13.1000,12,0.5760,0.5951
138,2,13.1000,12,0.6420,0.5900
140,2,13.2000,12,0.5780,0.5869
141,2,13.2500,12,0.6060,0.5806
142,2,13.4667,12,0.5950,0.5733
143,2,13.5000,12,0.6000,0.5680
144,2,13.8833,12,0.5460,0.5658
145,2,14.3833,12,0.5010,0.5631
146,2,14.4167,12,0.4920,0.5601
147,2,14.4167,12,0.5260,0.5640
148,2,14.4500,12,0.5490,0.5659
149,2,14.4500,12,0.5610,0.5698
150,2,14.4500,12,0.5150,0.5693
151,2,14.4500,12,0.4980,0.5751
152,2,14.6167,12,0.5250,0.5811
154,2,14.8167,13,0.5930,0.5872
155,2,14.8167,13,0.5640,0.5928
153,2,14.8167,12,0.5330,0.6002
156,2,14.8167,14,0.6760,0.6105
157,2,15.1500,14,0.6430,0.6203
158,2,15.1833,14,0.6530,0.6287
159,2,15.2333,14,0.6330,0.6365
160,2,15.2333,15,0.6930,0.6424
161,2,15.4167,15,0.7250,0.6482
162,2,15.4333,15,0.7190,0.6572
163,2,15.4667,15,0.7120,0.6644
164,2,15.5167,15,0.6930,0.6673
165,2,15.6333,15,0.7070,0.6718
166,2,15.6500,15,0.6890,0.6769
167,2,15.6500,15,0.6940,0.6741
168,2,15.8500,15,0.7030,0.6727
169,2,16.0667,15,0.6810,0.6710
170,2,16.1500,15,0.6310,0.6694
171,2,16.2667,15,0.6770,0.6663
172,2,16.5833,15,0.6700,0.6595
173,2,16.6167,15,0.6500,0.6590
174,2,16.8167,15,0.6540,0.6584
175,2,17.1167,15,0.6350,0.6600
176,2,17.1833,15,0.6200,0.6614
177,2,17.2167,15,0.6160,0.6617
178,2,17.2667,15,0.6170,0.6624
179,2,17.6167,15,0.6010,0.6649
180,2,17.6500,15,0.6310,0.6668
181,2,17.7833,15,0.5900,0.6726
182,2,17.9667,17,0.7100,0.6748
183,2,18.1500,17,0.6990,0.6772
184,2,18.2500,17,0.7250,0.6797
185,2,18.3000,17,0.7350,0.6878
187,2,18.3500,17,0.6960,0.6953
192,2,18.3500,17,0.7080,0.7040
193,2,18.3500,17,0.7530,0.7129
191,2,18.3500,17,0.7190,0.7221
186,2,18.3500,17,0.7460,0.7322
189,2,18.3500,17,0.7210,0.7408
188,2,18.3500,17,0.7170,0.7509
190,2,18.3500,17,0.7010,0.7578
194,2,18.5167,19,0.8160,0.7653
195,2,18.6667,19,0.7850,0.7687
196,2,18.8833,19,0.7950,0.7733
197,2,18.9333,19,0.7930,0.7811
198,2,19.0667,19,0.8010,0.7872
199,2,19.0667,19,0.8030,0.7903
200,2,19.0667,19,0.8030,0.7968
201,2,19.0667,19,0.7920,0.7995
203,2,19.2667,20,0.8480,0.8040
204,2,19.2667,20,0.8490,0.8085
202,2,19.2667,19,0.7930,0.8145
205,2,19.3000,20,0.8280,0.8151
206,2,19.5167,20,0.8500,0.8165
207,2,19.7333,20,0.8310,0.8179
208,2,19.7500,20,0.8160,0.8189
209,2,19.7500,20,0.8470,0.8187
210,2,19.8167,20,0.8020,0.8175
211,2,19.9000,20,0.8110,0.8167
212,2,20.0667,20,0.8060,0.8165
213,2,20.0667,20,0.8220,0.8132
214,2,20.0667,20,0.8270,0.8098
215,2,20.0667,20,0.8120,0.8093
216,2,20.0667,20,0.8250,0.8057
217,2,20.3333,20,0.8120,0.8018
218,2,20.6833,20,0.7970,0.7985
219,2,20.9167,20,0.7790,0.7964
220,2,20.9667,20,0.7860,0.7912
221,2,21.1667,20,0.7890,0.7883
222,2,21.2000,20,0.7820,0.7857
223,2,21.2667,20,0.7810,0.7835
224,2,21.2667,20,0.7830,0.7795
225,2,21.6500,20,0.7560,0.7766
226,2,21.6667,20,0.7730,0.7712
227,2,21.6667,20,0.7650,0.7674
228,2,21.6667,20,0.7740,0.7651
229,2,21.8500,20,0.7420,0.7600
230,2,21.9833,20,0.7440,0.7562
231,2,22.0000,20,0.7600,0.7524
232,2,22.4167,20,0.7610,0.7486
233,2,22.4667,20,0.7420,0.7508
234,2,22.5333,20,0.7680,0.7520
235,2,22.5667,20,0.7060,0.7524
236,2,22.6667,20,0.7480,0.7548
237,2,22.7167,20,0.7670,0.7572
238,2,22.9000,20,0.6940,0.7606
239,2,22.9333,20,0.7030,0.7623
240,2,23.0117,20,0.7090,0.7655
241,2,23.1350,20,0.7150,0.7687
242,2,23.4367,22,0.8250,0.7711
243,2,23.8383,22,0.8060,0.7733
244,2,23.8700,22,0.7910,0.7765
245,2,23.9367,22,0.8030,0.7786
246,2,23.9367,22,0.8210,0.7829
247,2,23.9367,22,0.8330,0.7845
253,3,24.0000,22,0.8080,0.7854
254,3,24.0000,22,0.8070,0.7890
252,3,24.0000,22,0.8070,0.7902
250,2,24.0000,22,0.8070,0.7916
249,2,24.0000,22,0.8070,0.7950
248,2,24.0000,22,0.8040,0.7908
251,3,24.0000,22,0.8110,0.7870
255,3,24.3333,22,0.7910,0.7847
256,3,24.5000,22,0.7810,0.7863
257,3,24.5667,22,0.7850,0.7846
258,3,24.8000,22,0.7650,0.7788
259,3,24.9333,22,0.7270,0.7807
260,3,24.9833,22,0.7380,0.7814
261,3,24.9833,22,0.7820,0.7829
262,3,25.2000,22,0.7420,0.7842
263,3,25.3667,22,0.7300,0.7842
264,3,25.4333,22,0.7450,0.7846
267,3,25.6333,24,0.8350,0.7848
266,3,25.6333,23,0.7860,0.7851
265,3,25.6333,22,0.7180,0.7863
268,3,25.7833,24,0.8450,0.7939
269,3,25.8000,24,0.8220,0.8017
270,3,25.8167,24,0.8370,0.8122
271,3,25.9833,24,0.8320,0.8216
272,3,26.0333,24,0.8070,0.8287
273,3,26.1667,24,0.8140,0.8379
274,3,26.1667,24,0.8140,0.8469
275,3,26.4500,24,0.7970,0.8554
276,3,26.4833,24,0.8060,0.8594
277,3,26.5833,27,0.9350,0.8655
278,3,26.9500,27,0.9220,0.8747
279,3,26.9833,27,0.9370,0.8774
280,3,26.9833,27,0.9250,0.8807
281,3,27.0000,27,0.9260,0.8833
282,3,27.1167,27,0.9260,0.8850
283,3,27.1667,27,0.9100,0.8882
284,3,27.2000,27,0.9140,0.8909
285,3,27.2167,27,0.9150,0.8947
286,3,27.3833,27,0.9080,0.8983
287,3,27.3833,27,0.9010,0.9015
288,3,27.3833,27,0.9000,0.8985
289,3,27.6333,27,0.8890,0.8954
290,3,27.8000,27,0.8890,0.8916
291,3,27.8667,27,0.8650,0.8881
292,3,27.9833,27,0.8710,0.8837
293,3,27.9833,27,0.8670,0.8809
294,3,27.9833,27,0.8910,0.8792
295,3,27.9833,27,0.8700,0.8759
296,3,27.9833,27,0.8680,0.8729
297,3,28.2500,27,0.8770,0.8700
298,3,28.3167,27,0.8590,0.8671
299,3,28.4833,27,0.8600,0.8633
300,3,28.5000,27,0.8550,0.8602
301,3,28.6500,27,0.8400,0.8577
302,3,28.6833,27,0.8680,0.8608
303,3,28.6833,27,0.8770,0.8640
304,3,28.6833,27,0.8480,0.8656
305,3,28.6833,27,0.8550,0.8674
306,3,28.8667,27,0.8500,0.8703
307,3,29.0833,27,0.8440,0.8725
308,3,29.1000,27,0.8220,0.8743
309,3,29.1167,27,0.8280,0.8763
310,3,29.1500,27,0.8380,0.8768
311,3,29.4000,29,0.9270,0.8788
312,3,29.5500,29,0.9370,0.8801
316,3,29.5667,29,0.8970,0.8806
315,3,29.5667,29,0.9270,0.8806
313,3,29.5667,29,0.9280,0.8819
314,3,29.5667,29,0.9130,0.8820
317,3,29.8333,29,0.9130,0.8820
318,3,29.9667,29,0.8980,0.8809
319,3,30.2667,29,0.8710,0.8807
320,3,30.2833,29,0.8940,0.8806
321,3,30.4000,29,0.8670,0.8787
322,3,30.4167,29,0.8770,0.8732
323,3,30.5167,29,0.8780,0.8660
324,3,30.5167,29,0.8730,0.8614
325,3,30.7833,29,0.8580,0.8552
326,3,30.9667,29,0.8510,0.8490
327,3,31.3833,29,0.8210,0.8439
328,3,31.4167,29,0.8190,0.8383
329,3,31.5167,29,0.8250,0.8319
330,3,31.7500,29,0.8000,0.8279
331,3,31.8000,29,0.8160,0.8229
332,3,32.1000,29,0.7940,0.8178
333,3,32.1000,29,0.8060,0.8134
334,3,32.1000,29,0.8010,0.8084
335,3,32.1000,29,0.8060,0.8070
336,3,32.1000,29,0.8110,0.8067
337,3,32.3667,29,0.7990,0.8055
338,3,32.5333,29,0.7710,0.8055
343,3,32.6833,29,0.7910,0.8073
341,3,32.6833,29,0.7940,0.8065
342,3,32.6833,29,0.7650,0.8083
339,3,32.6833,29,0.7890,0.8085
340,3,32.6833,29,0.7780,0.8102
344,3,33.0000,31,0.8450,0.8097
345,3,33.1667,31,0.8520,0.8101
346,3,33.4167,31,0.8280,0.8104
347,3,33.4667,31,0.8200,0.8110
348,3,33.4667,31,0.8560,0.8156
349,3,33.4667,31,0.8080,0.8215
350,3,33.8833,31,0.8370,0.8252
351,3,33.9167,31,0.8200,0.8303
355,3,34.0333,31,0.8270,0.8371
356,3,34.0333,31,0.7950,0.8418
354,3,34.0333,31,0.8110,0.8476
353,3,34.0333,31,0.8110,0.8504
352,3,34.0333,31,0.8220,0.8519
357,3,34.2333,33,0.8930,0.8550
358,3,34.2333,33,0.8880,0.8577
359,3,34.2333,33,0.8660,0.8580
360,3,34.2500,33,0.8940,0.8601
361,3,34.2500,33,0.9030,0.8605
362,3,34.2500,33,0.8830,0.8620
363,3,34.2500,33,0.8930,0.8635
364,3,34.2500,33,0.9010,0.8653
365,3,34.2500,33,0.8830,0.8669
366,3,34.2667,33,0.8900,0.8681
367,3,34.5833,33,0.8740,0.8684
368,3,34.6167,33,0.8610,0.8660
373,3,34.8000,33,0.8500,0.8637
372,3,34.8000,33,0.8450,0.8619
374,3,34.8000,33,0.8510,0.8584
370,3,34.8000,33,0.8560,0.8553
369,3,34.8000,33,0.8310,0.8523
371,3,34.8000,33,0.8420,0.8495
375,3,35.0000,33,0.8360,0.8470
