play_num,quarter,game_minute,cumulative_points,prob_over
1,1,0.0000,0,0.5010
2,1,0.4000,0,0.4870
3,1,0.4500,0,0.4950
4,1,0.6833,0,0.4770
5,1,0.8500,0,0.4950
6,1,1.1500,0,0.5160
7,1,1.4167,0,0.4810
8,1,1.4500,0,0.4800
9,1,1.6333,0,0.4640
10,1,1.6667,0,0.4890
11,1,1.7833,0,0.4680
12,1,1.8333,0,0.4740
13,1,1.8833,0,0.4590
14,1,1.9333,0,0.4450
15,1,2.1000,0,0.4720
16,1,2.3500,0,0.4570
17,1,2.4000,0,0.4740
18,1,2.5333,0,0.4210
19,1,2.6000,0,0.4240
20,1,2.6500,0,0.4670
21,1,2.9667,0,0.4500
22,1,3.0000,0,0.4310
23,1,3.3167,0,0.4460
24,1,3.5333,0,0.4480
25,1,3.6167,0,0.4700
26,1,3.8833,0,0.4290
27,1,3.9333,0,0.4390
28,1,4.1500,0,0.4210
29,1,4.1833,0,0.4240
30,1,4.2833,0,0.4060
31,1,4.3333,0,0.4160
32,1,4.4000,0,0.4380
33,1,4.4500,0,0.4380
34,1,4.6000,0,0.4120
35,1,4.9833,0,0.4110
36,1,5.2500,0,0.4390
37,1,5.3000,0,0.4260
38,1,5.4000,0,0.4080
44,1,5.4333,0,0.4030
43,1,5.4333,0,0.4240
42,1,5.4333,0,0.4050
45,1,5.4333,0,0.3900
40,1,5.4333,0,0.4220
39,1,5.4333,0,0.4120
41,1,5.4333,0,0.4130
46,1,5.6500,0,0.4270
47,1,5.6833,0,0.3970
48,1,5.6833,0,0.4200
49,1,5.7833,0,0.4090
50,1,6.1000,0,0.4090
53,1,6.2667,0,0.4040
51,1,6.2667,0,0.3760
52,1,6.2667,0,0.4050
54,1,6.5000,0,0.3860
55,1,6.7167,0,0.3620
56,1,6.7667,0,0.3850
57,1,6.9000,0,0.3720
58,1,6.9667,0,0.4140
62,1,7.1833,0,0.3750
61,1,7.1833,0,0.3830
63,1,7.1833,0,0.3900
59,1,7.1833,0,0.3650
60,1,7.1833,0,0.3710
64,1,7.5167,0,0.3660
65,1,7.6833,0,0.3610
66,1,7.6833,0,0.3670
67,1,7.6833,0,0.3950
68,1,7.8667,0,0.3760
69,1,7.8667,0,0.3690
70,1,8.1000,0,0.3460
71,1,8.3000,0,0.3530
72,1,8.5500,0,0.3510
73,1,8.7833,0,0.3460
74,1,8.8500,0,0.3190
75,1,8.9167,0,0.3120
76,1,8.9667,0,0.3340
79,1,9.1333,0,0.3250
77,1,9.1333,0,0.3130
78,1,9.1333,0,0.3590
80,1,9.3167,0,0.3560
81,1,9.3167,0,0.3350
82,1,9.3167,0,0.3540
83,1,9.3167,0,0.3570
84,1,9.4667,0,0.3420
85,1,9.4667,0,0.3520
86,1,9.4667,0,0.3220
87,1,9.6500,0,0.3070
88,1,9.6833,0,0.2990
89,1,9.7000,0,0.3340
91,1,10.0333,0,0.3230
90,1,10.0333,0,0.3100
92,1,10.0333,0,0.3340
93,1,10.0833,0,0.3080
94,1,10.1333,0,0.3180
95,1,10.1500,0,0.3410
96,1,10.2833,0,0.2980
97,1,10.5333,0,0.3080
98,1,10.7333,0,0.3040
99,1,10.8000,0,0.2990
100,1,10.8500,0,0.2960
101,1,10.8667,0,0.3150
102,1,10.8667,0,0.2740
103,1,11.1100,0,0.2970
104,1,11.3683,0,0.3090
105,1,11.5183,0,0.2840
106,1,11.5767,0,0.2820
107,1,11.9467,0,0.2520
110,1,11.9917,0,0.2860
109,1,11.9917,0,0.2620
108,1,11.9917,0,0.2870
111,1,11.9967,0,0.2740
112,1,11.9967,0,0.2770
113,1,12.0000,0,0.2830
114,2,12.0000,0,0.2680
115,2,12.0000,0,0.2840
116,2,12.2333,0,0.2630
117,2,12.4167,0,0.2660
118,2,12.4667,0,0.2600
119,2,12.5500,0,0.2650
120,2,12.5833,0,0.2450
121,2,12.7500,0,0.2460
122,2,12.7833,0,0.2410
123,2,12.7833,0,0.2380
124,2,13.0667,0,0.2360
126,2,13.0833,0,0.2270
125,2,13.0833,0,0.2500
127,2,13.2333,0,0.2590
128,2,13.2333,0,0.2310
129,2,13.2333,0,0.2400
130,2,13.6333,0,0.2460
131,2,14.0000,0,0.2330
132,2,14.0667,0,0.2330
133,2,14.1667,0,0.1980
134,2,14.2167,0,0.2240
135,2,14.3000,0,0.2110
136,2,14.3000,0,0.2140
137,2,14.3000,0,0.1980
138,2,14.3000,0,0.2100
139,2,14.3667,0,0.1930
140,2,14.4167,0,0.1770
141,2,14.5333,0,0.1930
142,2,14.5833,0,0.1680
143,2,14.5833,0,0.1950
144,2,14.5833,0,0.2020
145,2,14.7667,0,0.1730
146,2,14.7667,0,0.2080
147,2,14.7667,0,0.1850
148,2,14.7667,0,0.1780
149,2,14.7667,0,0.1540
150,2,15.1833,0,0.1910
151,2,15.2333,0,0.2060
152,2,15.2333,0,0.1690
153,2,15.2333,0,0.1690
154,2,15.4000,0,0.1590
155,2,15.6667,3,0.3410
156,2,16.0667,3,0.3560
157,2,16.1333,3,0.3800
158,2,16.3667,3,0.3620
159,2,16.5667,3,0.3500
160,2,16.6333,3,0.3190
161,2,16.9000,3,0.3610
162,2,17.1833,3,0.3440
163,2,17.4500,3,0.3300
164,2,17.5000,3,0.3400
165,2,17.5667,3,0.3240
171,2,17.8167,3,0.2990
170,2,17.8167,3,0.3210
169,2,17.8167,3,0.3250
172,2,17.8167,3,0.3010
167,2,17.8167,3,0.2840
166,2,17.8167,3,0.2970
168,2,17.8167,3,0.2760
173,2,18.0333,3,0.3130
174,2,18.3833,3,0.3110
175,2,18.4333,3,0.2890
176,2,18.4500,3,0.3090
183,2,18.7833,3,0.2830
182,2,18.7833,3,0.2760
181,2,18.7833,3,0.2890
178,2,18.7833,3,0.2730
179,2,18.7833,3,0.2830
177,2,18.7833,3,0.2960
180,2,18.7833,3,0.2970
184,2,18.9333,3,0.2860
185,2,18.9667,3,0.2850
186,2,19.2500,3,0.2900
187,2,19.3000,3,0.2340
188,2,19.3833,3,0.2830
189,2,19.4333,3,0.2530
190,2,19.5833,3,0.2330
191,2,19.9000,3,0.2420
192,2,20.0833,3,0.2330
193,2,20.2500,3,0.2410
194,2,20.2500,3,0.2350
195,2,20.2500,3,0.2460
196,2,20.2500,3,0.2240
197,2,20.4333,3,0.2200
198,2,20.4667,3,0.2150
199,2,20.5167,3,0.2070
200,2,20.5167,3,0.2220
201,2,20.5167,3,0.2140
202,2,20.8333,3,0.2090
203,2,20.9500,3,0.2120
204,2,21.0000,3,0.1980
205,2,21.0167,3,0.2060
206,2,21.0167,3,0.2120
207,2,21.0167,3,0.1960
208,2,21.1000,3,0.2050
209,2,21.1000,3,0.2040
210,2,21.1000,3,0.2090
211,2,21.1000,3,0.1900
212,2,21.1000,3,0.1820
213,2,21.2500,3,0.1630
214,2,21.4333,3,0.2010
215,2,21.7000,3,0.1720
216,2,21.7667,3,0.1760
217,2,21.8667,3,0.1770
218,2,21.9833,3,0.1710
221,2,22.0000,3,0.1630
219,2,22.0000,3,0.1650
220,2,22.0000,3,0.1370
222,2,22.1667,3,0.1710
223,2,22.2333,3,0.1600
224,2,22.2833,3,0.1510
225,2,22.2833,3,0.1620
226,2,22.2833,3,0.1500
227,2,22.2833,4,0.2450
228,2,22.5667,4,0.2320
229,2,22.5667,4,0.2300
230,2,22.5667,4,0.2040
231,2,22.8500,4,0.2400
232,2,22.8500,4,0.1970
233,2,22.8500,4,0.2080
235,2,22.9333,4,0.2130
236,2,22.9333,4,0.2200
234,2,22.9333,4,0.2240
237,2,23.0500,4,0.2130
238,2,23.1583,4,0.2260
239,2,23.1950,4,0.1910
240,2,23.2733,7,0.4980
241,2,23.4200,7,0.4800
