play_num,quarter,game_minute,cumulative_points,prob_over
1,1,0.0000,0,0.5060
2,1,0.1333,0,0.4860
3,1,0.5500,0,0.4840
4,1,0.6167,0,0.4670
5,1,0.8833,0,0.4670
6,1,1.2500,0,0.4520
7,1,1.5833,0,0.4060
8,1,1.6667,0,0.4230
9,1,1.7833,0,0.4190
10,1,2.0500,0,0.4020
11,1,2.0500,0,0.3980
12,1,2.0500,0,0.3890
13,1,2.0500,0,0.3970
14,1,2.2167,0,0.4070
15,1,2.5333,0,0.4010
16,1,2.5833,0,0.3990
17,1,2.9000,0,0.3720
18,1,2.9333,0,0.3820
19,1,3.0500,0,0.3880
20,1,3.3833,0,0.3520
21,1,3.4333,0,0.3740
22,1,3.4333,0,0.3520
23,1,3.7833,0,0.3510
24,1,4.0500,3,0.4920
25,1,4.4000,3,0.4380
26,1,4.5333,3,0.4700
27,1,4.6000,3,0.4670
28,1,4.8167,3,0.4430
29,1,5.1500,3,0.4250
30,1,5.5167,3,0.4350
31,1,5.5167,3,0.4210
32,1,5.5167,3,0.4570
33,1,5.5167,3,0.4240
34,1,5.5167,3,0.4330
35,1,5.6833,3,0.3940
36,1,6.0500,3,0.4130
37,1,6.1167,3,0.3810
38,1,6.2667,3,0.3710
39,1,6.3167,3,0.3890
40,1,6.3167,3,0.3950
41,1,6.3167,3,0.3680
42,1,6.5833,3,0.3720
43,1,6.8167,3,0.3480
44,1,6.8167,3,0.3430
45,1,6.8167,3,0.3470
46,1,6.8167,3,0.3720
47,1,7.0500,5,0.4360
48,1,7.2000,5,0.4160
49,1,7.2500,5,0.4460
50,1,7.3833,5,0.4180
51,1,7.3833,5,0.4350
52,1,7.5000,5,0.4140
53,1,7.6167,5,0.4430
54,1,7.6167,5,0.4110
55,1,7.6167,5,0.4340
56,1,7.6333,5,0.3960
57,1,7.8833,5,0.4290
58,1,7.9500,5,0.4160
59,1,8.1500,5,0.4100
60,1,8.4167,5,0.3980
61,1,8.4667,5,0.3770
62,1,8.4833,5,0.3570
63,1,8.4833,5,0.3900
64,1,8.5333,5,0.3890
65,1,8.6000,5,0.3860
66,1,8.8000,5,0.3700
67,1,8.8333,5,0.3710
68,1,8.8333,5,0.3710
69,1,9.0667,5,0.3720
70,1,9.1167,5,0.3850
71,1,9.1833,5,0.3460
72,1,9.1833,5,0.3430
73,1,9.1833,5,0.3670
74,1,9.1833,5,0.3680
75,1,9.1833,5,0.3550
76,1,9.1833,5,0.3670
77,1,9.1833,5,0.3680
78,1,9.3500,5,0.3630
79,1,9.4500,5,0.3400
80,1,9.8333,5,0.3540
81,1,10.1167,5,0.3380
82,1,10.2667,5,0.3140
83,1,10.5000,5,0.2870
84,1,10.5333,5,0.3190
85,1,10.6500,5,0.2970
86,1,10.7000,5,0.3030
87,1,10.8833,7,0.4050
88,1,11.0267,7,0.3900
89,1,11.1467,7,0.3720
